Shops,Date,quantity
shop_18,2022-09-26,1.0
shop_6,2022-09-25,12.0
shop_8,2022-09-25,4.0
shop_1,2022-09-24,25.0
shop_6,2022-09-24,11.0
shop_10,2022-09-24,3.0
shop_15,2022-09-24,5.0
shop_4,2022-09-23,6.0
shop_6,2022-09-23,8.0
shop_13,2022-09-23,11.0
shop_15,2022-09-23,11.0
shop_18,2022-09-23,1.0
shop_1,2022-09-22,8.0
shop_6,2022-09-22,2.0
shop_9,2022-09-22,8.0
shop_13,2022-09-22,13.0
shop_17,2022-09-22,22.0
shop_5,2022-09-21,1.0
shop_6,2022-09-21,18.0
shop_12,2022-09-21,6.0
shop_15,2022-09-21,18.0
shop_7,2022-09-20,2.0
shop_11,2022-09-20,2.0
shop_18,2022-09-20,14.0
shop_19,2022-09-20,43.0
shop_2,2022-09-19,5.0
shop_4,2022-09-19,20.0
shop_8,2022-09-19,13.0
shop_13,2022-09-19,1.0
shop_16,2022-09-19,3.0
shop_18,2022-09-19,5.0
shop_0,2022-09-18,5.0
shop_4,2022-09-18,50.0
shop_7,2022-09-18,12.0
shop_9,2022-09-18,57.0
shop_14,2022-09-18,7.0
shop_16,2022-09-18,26.0
shop_18,2022-09-18,2.0
shop_19,2022-09-18,41.0
shop_0,2022-09-17,7.0
shop_5,2022-09-17,4.0
shop_6,2022-09-17,34.0
shop_12,2022-09-17,6.0
shop_13,2022-09-17,37.0
shop_16,2022-09-17,18.0
shop_17,2022-09-17,9.0
shop_19,2022-09-17,40.0
shop_6,2022-09-16,76.0
shop_9,2022-09-16,37.0
shop_13,2022-09-16,27.0
shop_14,2022-09-16,3.0
shop_15,2022-09-16,42.0
shop_16,2022-09-16,44.0
shop_18,2022-09-16,18.0
shop_19,2022-09-16,27.0
shop_1,2022-09-15,70.0
shop_5,2022-09-15,8.0
shop_6,2022-09-15,32.0
shop_9,2022-09-15,13.0
shop_11,2022-09-15,25.0
shop_15,2022-09-15,11.0
shop_16,2022-09-15,41.0
shop_17,2022-09-15,1.0
